,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2023-03-08 09:06:00,32867.8,32881.8,32867.8,32874.3,32871.4,32885.4,32871.4,32877.9,,,,,331
2023-03-08 09:07:00,32873.3,32876.3,32854.3,32855.3,32876.9,32879.9,32857.9,32858.9,,,,,147
2023-03-08 09:08:00,32854.8,32859.8,32845.8,32855.3,32858.4,32863.4,32849.4,32858.9,,,,,114
2023-03-08 09:09:00,32854.8,32864.3,32854.8,32861.3,32858.4,32867.9,32858.4,32864.9,,,,,38
2023-03-08 09:10:00,32860.8,32861.8,32846.3,32853.8,32864.4,32865.4,32849.9,32857.4,,,,,44
2023-03-08 09:11:00,32854.3,32860.3,32853.3,32857.3,32857.9,32863.9,32856.9,32860.9,,,,,35
2023-03-08 09:12:00,32857.8,32864.3,32857.3,32858.8,32861.4,32867.9,32860.9,32862.4,,,,,43
2023-03-08 09:13:00,32859.3,32859.3,32853.3,32856.3,32862.9,32862.9,32856.9,32859.9,,,,,26
2023-03-08 09:14:00,32856.8,32863.8,32855.8,32859.3,32860.4,32867.4,32859.4,32862.9,,,,,9
2023-03-08 09:15:00,32859.8,32867.3,32859.3,32861.3,32863.4,32870.9,32862.9,32864.9,,,,,25
2023-03-08 09:16:00,32861.8,32864.3,32855.3,32858.3,32865.4,32867.9,32858.9,32861.9,,,,,26
2023-03-08 09:17:00,32858.8,32861.8,32858.3,32860.3,32862.4,32865.4,32861.9,32863.9,,,,,16
2023-03-08 09:18:00,32859.8,32860.3,32851.8,32853.3,32863.4,32863.9,32855.4,32856.9,,,,,16
2023-03-08 09:19:00,32853.8,32858.3,32850.8,32851.3,32857.4,32861.9,32854.4,32854.9,,,,,139
2023-03-08 09:20:00,32852.3,32855.8,32850.3,32851.8,32855.9,32859.4,32853.9,32855.4,,,,,48
2023-03-08 09:21:00,32851.3,32858.3,32849.8,32855.8,32854.9,32861.9,32853.4,32859.4,,,,,155
2023-03-08 09:22:00,32855.3,32855.3,32846.3,32847.3,32858.9,32858.9,32849.9,32850.9,,,,,104
2023-03-08 09:23:00,32847.8,32850.3,32843.3,32843.3,32851.4,32853.9,32846.9,32846.9,,,,,179
2023-03-08 09:24:00,32845.3,32850.3,32841.3,32850.3,32848.9,32853.9,32844.9,32853.9,,,,,106
2023-03-08 09:25:00,32849.8,32855.3,32848.8,32855.3,32853.4,32858.9,32852.4,32858.9,,,,,23
2023-03-08 09:26:00,32854.8,32865.3,32854.8,32861.3,32858.4,32868.9,32858.4,32864.9,,,,,245
2023-03-08 09:27:00,32861.8,32864.3,32856.3,32864.3,32865.4,32867.9,32859.9,32867.9,,,,,41
2023-03-08 09:28:00,32864.8,32867.3,32858.3,32858.8,32868.4,32870.9,32861.9,32862.4,,,,,24
2023-03-08 09:29:00,32859.3,32862.3,32856.3,32862.3,32862.9,32865.9,32859.9,32865.9,,,,,34
2023-03-08 09:30:00,32862.8,32868.3,32862.8,32867.3,32866.4,32871.9,32866.4,32870.9,,,,,57
2023-03-08 09:31:00,32867.8,32870.3,32860.3,32861.8,32871.4,32873.9,32863.9,32865.4,,,,,41
2023-03-08 09:32:00,32862.3,32866.8,32860.3,32865.3,32865.9,32870.4,32863.9,32868.9,,,,,28
2023-03-08 09:33:00,32864.8,32870.8,32864.3,32868.3,32868.4,32874.4,32867.9,32871.9,,,,,24
2023-03-08 09:34:00,32867.8,32868.8,32865.3,32866.3,32871.4,32872.4,32868.9,32869.9,,,,,17
2023-03-08 09:35:00,32865.8,32866.8,32860.3,32864.3,32869.4,32870.4,32863.9,32867.9,,,,,38
2023-03-08 09:36:00,32864.8,32872.8,32864.8,32872.3,32868.4,32876.4,32868.4,32875.9,,,,,30
2023-03-08 09:37:00,32871.8,32880.3,32870.8,32879.3,32875.4,32883.9,32874.4,32882.9,,,,,41
2023-03-08 09:38:00,32879.8,32881.3,32878.3,32880.3,32883.4,32884.9,32881.9,32883.9,,,,,22
2023-03-08 09:39:00,32880.8,32882.3,32877.8,32879.3,32884.4,32885.9,32881.4,32882.9,,,,,16
2023-03-08 09:40:00,32878.8,32882.3,32876.3,32877.3,32882.4,32885.9,32879.9,32880.9,,,,,18
2023-03-08 09:41:00,32876.8,32878.8,32874.8,32876.3,32880.4,32882.4,32878.4,32879.9,,,,,6
2023-03-08 09:42:00,32876.8,32880.8,32872.3,32880.8,32880.4,32884.4,32875.9,32884.4,,,,,31
2023-03-08 09:43:00,32880.3,32881.3,32874.8,32875.3,32883.9,32884.9,32878.4,32878.9,,,,,34
2023-03-08 09:44:00,32875.8,32878.3,32875.3,32877.3,32879.4,32881.9,32878.9,32880.9,,,,,6
2023-03-08 09:45:00,32877.8,32879.3,32873.3,32875.3,32881.4,32882.9,32876.9,32878.9,,,,,19
2023-03-08 09:46:00,32875.8,32877.3,32874.8,32875.3,32879.4,32880.9,32878.4,32878.9,,,,,5
2023-03-08 09:47:00,32875.8,32877.8,32872.8,32873.3,32879.4,32881.4,32876.4,32876.9,,,,,8
2023-03-08 09:48:00,32873.8,32876.8,32872.8,32875.8,32877.4,32880.4,32876.4,32879.4,,,,,7
2023-03-08 09:49:00,32875.3,32877.3,32870.3,32873.3,32878.9,32880.9,32873.9,32876.9,,,,,15
2023-03-08 09:50:00,32873.8,32874.3,32869.3,32871.3,32877.4,32877.9,32872.9,32874.9,,,,,29
2023-03-08 09:51:00,32870.8,32872.8,32869.8,32870.3,32874.4,32876.4,32873.4,32873.9,,,,,9
